Inputs,Map used: map.txt,Simulation Time: 150,neighbourhood_option: 0,Lions: 3,Wolves: 3,Rabbits: 10,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,100,60,50
 ,Breeding Cooldown,1000,600,100
 , Mating Threshold,80,85,95
 ,Hunger Threshold,70,70,80
 ,Thirst Threshold,80,80,80
Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,3,3,10
2,3,3,10
3,3,3,10
4,3,3,10
5,3,3,10
6,3,3,10
7,3,3,10
8,3,3,10
9,3,3,10
10,3,3,10
11,3,3,10
12,3,3,8
13,3,3,8
14,3,3,6
15,3,3,7
16,3,3,7
17,3,3,6
18,3,3,6
19,3,3,6
20,3,0,7
21,3,0,7
22,3,0,7
23,3,0,7
24,3,0,7
25,3,0,7
26,3,0,8
27,3,0,9
28,3,0,9
29,3,0,8
30,3,0,8
31,3,0,8
32,3,0,7
33,3,0,5
34,2,0,5
35,2,0,5
36,2,0,4
37,3,0,2
38,3,0,2
39,3,0,2
40,3,0,1
41,3,0,1
42,3,0,1
43,3,0,1
44,2,0,1
45,2,0,1
46,2,0,1
47,2,0,1
48,2,0,1
49,2,0,1
50,2,0,1
51,2,0,1
52,2,0,1
53,2,0,1
54,2,0,1
55,2,0,1
56,2,0,1
57,2,0,1
58,2,0,1
59,2,0,1
60,2,0,1
61,2,0,1
62,2,0,1
63,2,0,1
64,2,0,1
65,2,0,0
66,2,0,0
67,2,0,0
68,2,0,0
69,2,0,0
70,2,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
