Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,3,4,8
2,3,4,8
3,3,4,8
4,3,4,8
5,3,4,8
6,3,4,8
7,3,4,8
8,3,4,8
9,3,4,8
10,3,4,8
11,3,4,8
12,4,4,8
13,4,4,8
14,4,4,8
15,4,4,8
16,4,4,8
17,4,4,8
18,4,4,8
19,4,4,8
20,4,4,7
21,4,4,8
22,4,4,8
23,4,4,8
24,4,4,8
25,4,4,8
26,4,4,8
27,4,4,8
28,4,4,7
29,4,4,7
30,4,4,6
31,4,4,6
32,4,4,6
33,4,4,5
34,4,4,5
35,4,4,5
36,4,4,5
37,4,4,5
38,4,4,5
39,4,4,5
40,5,4,5
41,5,4,5
42,5,4,5
43,5,4,4
44,5,4,4
45,5,4,4
46,5,4,4
47,5,4,4
48,5,4,4
49,5,4,4
50,5,4,4
51,5,4,4
52,5,4,3
53,5,4,3
54,5,4,3
55,5,4,3
56,5,4,3
57,5,4,3
58,5,4,3
59,5,4,3
60,5,4,3
61,5,4,3
62,5,4,3
63,5,4,3
64,5,4,3
65,5,4,3
66,5,4,3
67,5,4,3
68,5,4,3
69,5,4,3
70,5,4,3
71,5,4,3
72,5,4,3
73,5,4,3
74,5,4,3
75,5,4,3
76,5,4,3
77,5,4,3
78,5,4,3
79,5,4,3
80,5,4,3
81,5,4,3
82,5,4,2
83,5,4,2
84,5,4,2
85,5,4,1
86,5,4,1
87,5,4,1
88,5,4,1
89,5,4,1
90,5,4,1
91,5,4,0
92,5,3,0
93,5,3,0
94,5,3,0
95,5,3,0
96,5,3,0
97,5,3,0
98,5,3,0
99,5,3,0
100,5,3,0
101,5,3,0
102,5,2,0
103,5,2,0
104,5,2,0
105,5,2,0
106,5,2,0
107,5,2,0
108,5,2,0
109,5,2,0
110,5,2,0
111,5,2,0
112,5,2,0
113,5,2,0
114,5,2,0
115,5,2,0
116,5,2,0
117,5,2,0
118,5,2,0
119,5,2,0
120,5,2,0
121,5,2,0
122,5,2,0
123,5,2,0
124,5,2,0
125,5,2,0
126,5,2,0
127,5,2,0
128,5,2,0
129,5,1,0
130,5,1,0
131,5,1,0
132,5,1,0
133,5,1,0
134,5,1,0
135,5,1,0
136,5,1,0
137,5,1,0
138,5,1,0
139,5,1,0
140,5,1,0
141,5,0,0
142,5,0,0
143,5,0,0
144,5,0,0
145,5,0,0
146,5,0,0
147,5,0,0
148,5,0,0
149,5,0,0
150,5,0,0
151,5,0,0
152,5,0,0
153,5,0,0
154,5,0,0
155,5,0,0
156,5,0,0
157,5,0,0
158,5,0,0
159,5,0,0
160,5,0,0
161,5,0,0
162,5,0,0
163,5,0,0
164,5,0,0
165,5,0,0
166,5,0,0
167,5,0,0
168,5,0,0
169,4,0,0
170,4,0,0
171,4,0,0
172,4,0,0
173,4,0,0
174,4,0,0
175,4,0,0
176,4,0,0
177,4,0,0
178,4,0,0
179,4,0,0
180,4,0,0
181,4,0,0
182,4,0,0
183,4,0,0
184,4,0,0
185,4,0,0
186,4,0,0
187,4,0,0
188,4,0,0
189,4,0,0
190,3,0,0
191,3,0,0
192,3,0,0
193,3,0,0
194,3,0,0
195,2,0,0
196,2,0,0
197,2,0,0
198,2,0,0
199,2,0,0
200,2,0,0
