Inputs,Simulation Time: 200,Lions: 4,Wolves: 4,Rabbits: 15,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,100,60,50
 ,Breeding Cooldown,1000,600,100
 , Mating Threshold,80,85,95
 ,Hunger Threshold,70,70,80
 ,Thirst Threshold,80,80,80
Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,4,4,15
2,4,4,15
3,4,5,16
4,4,5,16
5,4,4,14
6,4,4,15
7,4,4,14
8,4,4,14
9,5,4,14
10,5,4,15
11,5,4,14
12,5,3,13
13,5,3,13
14,5,3,13
15,5,2,13
16,5,2,13
17,5,1,13
18,5,1,14
19,5,1,15
20,5,1,15
21,5,1,13
22,4,1,13
23,4,0,12
24,4,0,12
25,4,0,12
26,4,0,11
27,3,0,11
28,3,0,11
29,3,0,11
30,3,0,10
31,3,0,11
32,2,0,11
33,2,0,11
34,2,0,11
35,2,0,11
36,2,0,11
37,2,0,11
38,2,0,12
39,2,0,14
40,2,0,14
41,2,0,15
42,2,0,15
43,1,0,15
44,1,0,15
45,1,0,16
46,1,0,16
47,0,0,17
48,0,0,18
49,0,0,19
50,0,0,14
51,0,0,14
52,0,0,14
53,0,0,12
54,0,0,11
55,0,0,12
56,0,0,11
57,0,0,11
58,0,0,11
59,0,0,11
60,0,0,10
61,0,0,10
62,0,0,10
63,0,0,10
64,0,0,8
65,0,0,9
66,0,0,9
67,0,0,8
68,0,0,8
69,0,0,8
70,0,0,7
71,0,0,7
72,0,0,7
73,0,0,6
74,0,0,6
75,0,0,6
76,0,0,6
77,0,0,6
78,0,0,5
79,0,0,5
80,0,0,5
81,0,0,5
82,0,0,5
83,0,0,5
84,0,0,5
85,0,0,5
86,0,0,4
87,0,0,3
88,0,0,3
89,0,0,3
90,0,0,3
91,0,0,4
92,0,0,3
93,0,0,3
94,0,0,3
95,0,0,3
96,0,0,3
97,0,0,3
98,0,0,3
99,0,0,2
100,0,0,2
101,0,0,2
102,0,0,2
103,0,0,2
104,0,0,2
105,0,0,2
106,0,0,2
107,0,0,2
108,0,0,2
109,0,0,2
110,0,0,1
111,0,0,1
112,0,0,1
113,0,0,1
114,0,0,1
115,0,0,1
116,0,0,1
117,0,0,1
118,0,0,1
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
