Inputs,Map Used: map.txt,Simulation Time: 200,neighbourhood_option: 0,Lions: 4,Wolves: 4,Rabbits: 15,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,100,60,50,,,,
 ,Breeding Cooldown,1000,600,100,,,,
 , Mating Threshold,80,85,95,,,,
 ,Hunger Threshold,70,70,80,,,,
 ,Thirst Threshold,80,80,80,,,,
Iterations,Number of Lions,Number of Wolves,Number of Rabbits,,,,,
1,4,4,15,,,,,
2,4,4,15,,,,,
3,4,4,15,,,,,
4,4,4,16,,,,,
5,4,4,16,,,,,
6,4,4,15,,,,,
7,4,4,15,,,,,
8,4,4,15,,,,,
9,4,4,14,,,,,
10,4,2,14,,,,,
11,4,2,14,,,,,
12,4,2,13,,,,,
13,1,2,13,,,,,
14,1,2,13,,,,,
15,1,2,13,,,,,
16,1,1,14,,,,,
17,1,1,14,,,,,
18,1,1,14,,,,,
19,1,1,15,,,,,
20,1,1,15,,,,,
21,1,1,13,,,,,
22,1,1,13,,,,,
23,1,1,13,,,,,
24,1,1,13,,,,,
25,0,0,11,,,,,
26,0,0,11,,,,,
27,0,0,12,,,,,
28,0,0,12,,,,,
29,0,0,12,,,,,
30,0,0,13,,,,,
31,0,0,13,,,,,
32,0,0,13,,,,,
33,0,0,14,,,,,
34,0,0,14,,,,,
35,0,0,16,,,,,
36,0,0,17,,,,,
37,0,0,17,,,,,
38,0,0,17,,,,,
39,0,0,18,,,,,
40,0,0,18,,,,,
41,0,0,21,,,,,
42,0,0,24,,,,,
43,0,0,24,,,,,
44,0,0,25,,,,,
45,0,0,27,,,,,
46,0,0,28,,,,,
47,0,0,30,,,,,
48,0,0,32,,,,,
49,0,0,33,,,,,
50,0,0,31,,,,,
51,0,0,33,,,,,
52,0,0,35,,,,,
53,0,0,39,,,,,
54,0,0,41,,,,,
55,0,0,47,,,,,
56,0,0,52,,,,,
57,0,0,53,,,,,
58,0,0,54,,,,,
59,0,0,56,,,,,
60,0,0,58,,,,,
61,0,0,60,,,,,
62,0,0,61,,,,,
63,0,0,60,,,,,
64,0,0,60,,,,,
65,0,0,60,,,,,
66,0,0,58,,,,,
67,0,0,54,,,,,
68,0,0,53,,,,,
69,0,0,50,,,,,
70,0,0,45,,,,,
71,0,0,43,,,,,
72,0,0,41,,,,,
73,0,0,34,,,,,
74,0,0,34,,,,,
75,0,0,33,,,,,
76,0,0,29,,,,,
77,0,0,25,,,,,
78,0,0,24,,,,,
79,0,0,22,,,,,
80,0,0,19,,,,,
81,0,0,19,,,,,
82,0,0,17,,,,,
83,0,0,15,,,,,
84,0,0,13,,,,,
85,0,0,13,,,,,
86,0,0,11,,,,,
87,0,0,10,,,,,
88,0,0,10,,,,,
89,0,0,9,,,,,
90,0,0,9,,,,,
91,0,0,7,,,,,
92,0,0,7,,,,,
93,0,0,7,,,,,
94,0,0,7,,,,,
95,0,0,6,,,,,
96,0,0,6,,,,,
97,0,0,5,,,,,
98,0,0,5,,,,,
99,0,0,4,,,,,
100,0,0,4,,,,,
101,0,0,4,,,,,
102,0,0,3,,,,,
103,0,0,2,,,,,
104,0,0,2,,,,,
105,0,0,2,,,,,
106,0,0,2,,,,,
107,0,0,2,,,,,
108,0,0,2,,,,,
109,0,0,2,,,,,
110,0,0,1,,,,,
111,0,0,1,,,,,
112,0,0,1,,,,,
113,0,0,1,,,,,
114,0,0,0,,,,,
115,0,0,0,,,,,
116,0,0,0,,,,,
117,0,0,0,,,,,
118,0,0,0,,,,,
119,0,0,0,,,,,
120,0,0,0,,,,,
121,0,0,0,,,,,
122,0,0,0,,,,,
123,0,0,0,,,,,
124,0,0,0,,,,,
